nbre ligne;nbre col;hauteur;;;;;;;;;;;;;;;;;;;;;;;;;;
15;29;5;;;;;;;;;;;;;;;;;;;;;;;;;;
;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;x;;x;;x;;x;;x;;x;;x;;x;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;;;
x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x
;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;x;;x;;x;;x;;x;;x;;x;;x;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;x;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;x;;x;;x;;x;;x;;x;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;x;;x;;x;;x;;x;;x;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;x;;x;;x;;x;;x;;x;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;x;;x;;x;;x;;x;;x;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;x;;x;;x;;x;;x;;x;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;x;;x;;x;;x;;x;;x;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;x;;x;;x;;x;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;x;;x;;x;;x;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;x;;x;;x;;x;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;x;;x;;x;;x;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
